fare_id,route_id,origin_id,destination_id,contains_id
10676,Bus Bridge,,,
10676,TaSJ-Shuttle,,,
10675,Special,59853,59857,
10675,Special,59857,59853,
10675,Local,59853,59857,
10675,Local,59857,59853,
10675,Limited,59853,59857,
10675,Limited,59857,59853,
10675,Bullet,59853,59857,
10675,Bullet,59857,59853,
10674,Special,59854,59857,
10674,Special,59853,59856,
10674,Special,59857,59854,
10674,Special,59856,59853,
10674,Local,59854,59857,
10674,Local,59853,59856,
10674,Local,59857,59854,
10674,Local,59856,59853,
10674,Limited,59854,59857,
10674,Limited,59853,59856,
10674,Limited,59857,59854,
10674,Limited,59856,59853,
10674,Bullet,59854,59857,
10674,Bullet,59853,59856,
10674,Bullet,59857,59854,
10674,Bullet,59856,59853,
10673,Special,59852,59857,
10673,Special,59854,59856,
10673,Special,59853,59855,
10673,Special,59857,59852,
10673,Special,59856,59854,
10673,Special,59855,59853,
10673,Local,59852,59857,
10673,Local,59854,59856,
10673,Local,59853,59855,
10673,Local,59857,59852,
10673,Local,59856,59854,
10673,Local,59855,59853,
10673,Limited,59852,59857,
10673,Limited,59854,59856,
10673,Limited,59853,59855,
10673,Limited,59857,59852,
10673,Limited,59856,59854,
10673,Limited,59855,59853,
10673,Bullet,59852,59857,
10673,Bullet,59854,59856,
10673,Bullet,59853,59855,
10673,Bullet,59857,59852,
10673,Bullet,59856,59854,
10673,Bullet,59855,59853,
10672,Special,59852,59853,
10672,Special,59852,59856,
10672,Special,59854,59855,
10672,Special,59853,59852,
10672,Special,59857,59855,
10672,Special,59856,59852,
10672,Special,59855,59854,
10672,Special,59855,59857,
10672,Local,59852,59853,
10672,Local,59852,59856,
10672,Local,59854,59855,
10672,Local,59853,59852,
10672,Local,59857,59855,
10672,Local,59856,59852,
10672,Local,59855,59854,
10672,Local,59855,59857,
10672,Limited,59852,59853,
10672,Limited,59852,59856,
10672,Limited,59854,59855,
10672,Limited,59853,59852,
10672,Limited,59857,59855,
10672,Limited,59856,59852,
10672,Limited,59855,59854,
10672,Limited,59855,59857,
10672,Bullet,59852,59853,
10672,Bullet,59852,59856,
10672,Bullet,59854,59855,
10672,Bullet,59853,59852,
10672,Bullet,59857,59855,
10672,Bullet,59856,59852,
10672,Bullet,59855,59854,
10672,Bullet,59855,59857,
10671,Special,59852,59854,
10671,Special,59852,59855,
10671,Special,59854,59852,
10671,Special,59854,59853,
10671,Special,59853,59854,
10671,Special,59857,59856,
10671,Special,59856,59857,
10671,Special,59856,59855,
10671,Special,59855,59852,
10671,Special,59855,59856,
10671,Local,59852,59854,
10671,Local,59852,59855,
10671,Local,59854,59852,
10671,Local,59854,59853,
10671,Local,59853,59854,
10671,Local,59857,59856,
10671,Local,59856,59857,
10671,Local,59856,59855,
10671,Local,59855,59852,
10671,Local,59855,59856,
10671,Limited,59852,59854,
10671,Limited,59852,59855,
10671,Limited,59854,59852,
10671,Limited,59854,59853,
10671,Limited,59853,59854,
10671,Limited,59857,59856,
10671,Limited,59856,59857,
10671,Limited,59856,59855,
10671,Limited,59855,59852,
10671,Limited,59855,59856,
10671,Bullet,59852,59854,
10671,Bullet,59852,59855,
10671,Bullet,59854,59852,
10671,Bullet,59854,59853,
10671,Bullet,59853,59854,
10671,Bullet,59857,59856,
10671,Bullet,59856,59857,
10671,Bullet,59856,59855,
10671,Bullet,59855,59852,
10671,Bullet,59855,59856,
10670,Special,59852,59852,
10670,Special,59854,59854,
10670,Special,59853,59853,
10670,Special,59857,59857,
10670,Special,59856,59856,
10670,Special,59855,59855,
10670,Local,59852,59852,
10670,Local,59854,59854,
10670,Local,59853,59853,
10670,Local,59857,59857,
10670,Local,59856,59856,
10670,Local,59855,59855,
10670,Limited,59852,59852,
10670,Limited,59854,59854,
10670,Limited,59853,59853,
10670,Limited,59857,59857,
10670,Limited,59856,59856,
10670,Limited,59855,59855,
10670,Bullet,59852,59852,
10670,Bullet,59854,59854,
10670,Bullet,59853,59853,
10670,Bullet,59857,59857,
10670,Bullet,59856,59856,
10670,Bullet,59855,59855,
