trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"shuttle502H","7:38:00","7:38:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle502H","7:48:00","7:48:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle504H","8:38:00","8:38:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle504H","8:48:00","8:48:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle422H","10:07:00","10:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle422H","10:17:00","10:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle422","10:07:00","10:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle422","10:17:00","10:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle424H","11:37:00","11:37:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle424H","11:47:00","11:47:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle424","11:37:00","11:37:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle424","11:47:00","11:47:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle426H","13:07:00","13:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle426H","13:17:00","13:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle426","13:07:00","13:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle426","13:17:00","13:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle802","13:28:00","13:28:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle802","13:38:00","13:38:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle802H","13:28:00","13:28:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle802H","13:38:00","13:38:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle428","14:37:00","14:37:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle428","14:47:00","14:47:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle428H","14:37:00","14:37:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle428H","14:47:00","14:47:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle430","16:07:00","16:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle430","16:17:00","16:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle430H","16:07:00","16:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle430H","16:17:00","16:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle432H","17:30:00","17:30:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle432H","17:40:00","17:40:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle432","17:37:00","17:37:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle432","17:47:00","17:47:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle434","19:07:00","19:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle434","19:17:00","19:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle508H","19:16:00","19:16:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle508H","19:26:00","19:26:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle804H","20:53:00","20:53:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle804H","21:08:00","21:08:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle804","20:58:00","20:58:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle804","21:08:00","21:08:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle438H","22:07:00","22:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle438H","22:17:00","22:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle438","22:07:00","22:07:00","777402","1","Tamien","0","0","0.00000000",1
"shuttle438","22:17:00","22:17:00","777403","2","Tamien","0","0","7489.24322411",1
"shuttle501H","5:33:00","5:33:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle501H","5:45:00","5:45:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle503H","6:03:00","6:03:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle503H","6:15:00","6:15:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle423H","8:11:00","8:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle423H","8:23:00","8:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle423","8:11:00","8:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle423","8:23:00","8:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle801","9:24:00","9:24:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle801","9:36:00","9:36:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle801H","9:24:00","9:24:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle801H","9:36:00","9:36:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle425H","9:46:00","9:46:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle425H","9:58:00","9:58:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle425","9:46:00","9:46:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle425","9:58:00","9:58:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle427","11:11:00","11:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle427","11:23:00","11:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle427H","11:11:00","11:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle427H","11:23:00","11:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle429","12:41:00","12:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle429","12:53:00","12:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle429H","12:41:00","12:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle429H","12:53:00","12:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle431H","14:11:00","14:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle431H","14:23:00","14:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle431","14:11:00","14:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle431","14:23:00","14:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle433H","15:41:00","15:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle433H","15:53:00","15:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
