route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
TaSJ-Shuttle,74732,shuttle502H,Tamien Caltrain Station,0,,p_692614,502,,
TaSJ-Shuttle,74732,shuttle504H,Tamien Caltrain Station,0,,p_692614,504,,
TaSJ-Shuttle,74732,shuttle422H,Tamien Caltrain Station,0,,p_692614,422,,
TaSJ-Shuttle,72982,shuttle422,Tamien Caltrain Station,0,,p_692614,422,,
TaSJ-Shuttle,74732,shuttle424H,Tamien Caltrain Station,0,,p_692614,424,,
TaSJ-Shuttle,72982,shuttle424,Tamien Caltrain Station,0,,p_692614,424,,
TaSJ-Shuttle,74732,shuttle426H,Tamien Caltrain Station,0,,p_692614,426,,
TaSJ-Shuttle,72982,shuttle426,Tamien Caltrain Station,0,,p_692614,426,,
TaSJ-Shuttle,72982,shuttle802,Tamien Caltrain Station,0,,p_692614,802,,
TaSJ-Shuttle,74732,shuttle802H,Tamien Caltrain Station,0,,p_692614,802,,
TaSJ-Shuttle,72982,shuttle428,Tamien Caltrain Station,0,,p_692614,428,,
TaSJ-Shuttle,74732,shuttle428H,Tamien Caltrain Station,0,,p_692614,428,,
TaSJ-Shuttle,72982,shuttle430,Tamien Caltrain Station,0,,p_692614,430,,
TaSJ-Shuttle,74732,shuttle430H,Tamien Caltrain Station,0,,p_692614,430,,
TaSJ-Shuttle,74732,shuttle432H,Tamien Caltrain Station,0,,p_692614,432,,
TaSJ-Shuttle,72982,shuttle432,Tamien Caltrain Station,0,,p_692614,432,,
TaSJ-Shuttle,72982,shuttle434,Tamien Caltrain Station,0,,p_692614,434,,
TaSJ-Shuttle,74732,shuttle508H,Tamien Caltrain Station,0,,p_692614,508,,
TaSJ-Shuttle,74732,shuttle804H,Tamien Caltrain Station,0,,p_692614,804,,
TaSJ-Shuttle,72982,shuttle804,Tamien Caltrain Station,0,,p_692614,804,,
TaSJ-Shuttle,74732,shuttle438H,Tamien Caltrain Station,0,,p_692614,438,,
TaSJ-Shuttle,72982,shuttle438,Tamien Caltrain Station,0,,p_692614,438,,
TaSJ-Shuttle,74732,shuttle501H,San Jose Diridon Caltrain Station,1,,p_692575,501,,
TaSJ-Shuttle,74732,shuttle503H,San Jose Diridon Caltrain Station,1,,p_692575,503,,
TaSJ-Shuttle,74732,shuttle423H,San Jose Diridon Caltrain Station,1,,p_692575,423,,
TaSJ-Shuttle,72982,shuttle423,San Jose Diridon Caltrain Station,1,,p_692575,423,,
TaSJ-Shuttle,72982,shuttle801,San Jose Diridon Caltrain Station,1,,p_692575,801,,
TaSJ-Shuttle,74732,shuttle801H,San Jose Diridon Caltrain Station,1,,p_692575,801,,
TaSJ-Shuttle,74732,shuttle425H,San Jose Diridon Caltrain Station,1,,p_692575,425,,
TaSJ-Shuttle,72982,shuttle425,San Jose Diridon Caltrain Station,1,,p_692575,425,,
TaSJ-Shuttle,72982,shuttle427,San Jose Diridon Caltrain Station,1,,p_692575,427,,
TaSJ-Shuttle,74732,shuttle427H,San Jose Diridon Caltrain Station,1,,p_692575,427,,
TaSJ-Shuttle,72982,shuttle429,San Jose Diridon Caltrain Station,1,,p_692575,429,,
TaSJ-Shuttle,74732,shuttle429H,San Jose Diridon Caltrain Station,1,,p_692575,429,,
TaSJ-Shuttle,74732,shuttle431H,San Jose Diridon Caltrain Station,1,,p_692575,431,,
TaSJ-Shuttle,72982,shuttle431,San Jose Diridon Caltrain Station,1,,p_692575,431,,
TaSJ-Shuttle,74732,shuttle433H,San Jose Diridon Caltrain Station,1,,p_692575,433,,
TaSJ-Shuttle,72982,shuttle433,San Jose Diridon Caltrain Station,1,,p_692575,433,,
TaSJ-Shuttle,74732,shuttle505H,San Jose Diridon Caltrain Station,1,,p_692575,505,,
TaSJ-Shuttle,74732,shuttle803H,San Jose Diridon Caltrain Station,1,,p_692575,803,,
TaSJ-Shuttle,72982,shuttle803,San Jose Diridon Caltrain Station,1,,p_692575,803,,
TaSJ-Shuttle,72982,shuttle435,San Jose Diridon Caltrain Station,1,,p_692575,435,,
TaSJ-Shuttle,74732,shuttle435H,San Jose Diridon Caltrain Station,1,,p_692575,435,,
TaSJ-Shuttle,74732,shuttle507H,San Jose Diridon Caltrain Station,1,,p_692575,507,,
TaSJ-Shuttle,74732,shuttle437H,San Jose Diridon Caltrain Station,1,,p_692575,437,,
